id,firstName,lastName,birthDate,party,represents,profileText
O000086,Burgess,Owens,1951-08-02,Republican,UT,"a Representative from Utah; born in Columbus, Ohio, August 2, 1951; graduated from James S. Rickards High School, Tallahassee, Fla., 1969; B.S., University of Miami, Coral Gables, Fla.; professional athlete; business executive; nonprofit executive; entrepreneur; elected as a Republican to the One Hundred Seventeenth Congress (January 3, 2021&ndash;present)."
M001166,Jerry,McNerney,1951-06-18,Democrat,CA,"a Representative from California; born in Albuquerque, Bernalillo County, N. Mex., June 18, 1951; attended the United States Military Academy, West Point, N.Y., 1969-1971; B.S., University of New Mexico, Albuquerque, N. Mex., 1973; M.S., University of New Mexico, Albuquerque, N. Mex., 1975; Ph.D., University of New Mexico, Albuquerque, N. Mex., 1981; engineer; business owner; unsuccessful candidate for election to the One Hundred Ninth Congress in 2004; elected as a Democrat to the One Hundred Tenth and to the seven succeeding Congresses (January 3, 2007-present)."
Y000064,Todd,Young,1972,Republican,IN,"A Senator and a Representative from Indiana; born in Lancaster, Lancaster County, Pa., August 24, 1972; graduated from Carmel High School, Carmel, Ind., 1990; B.S., United States Naval Academy, Annapolis, Md., 1995; M.B.A., University of Chicago, Chicago, Ill., 2000; M.A., University of London, London, England, 2001; J.D., Robert H. McKinney School of Law, Indiana University, Indianapolis, Ind., 2006; United States Navy, 1990-1991; United States Marine Corps, 1995-2000; staff, United States Senator Richard Lugar of Indiana, 2001-2003; Orange County, Ind., assistant deputy prosecutor, 2007-2010; consultant; lawyer, private practice; elected as a Republican to the One Hundred Twelfth and to the two succeeding Congresses (January 3, 2011-January 3, 2017); was not a candidate for reelection to the House of Representatives but was elected as a Republican to the United States Senate in 2016 for the term ending January 3, 2023; chair, National Republican Senatorial Committee (2019-2020)."
T000479,Van,Taylor,1972-08-01,Republican,TX,"A Representative from Texas; born in Dallas, Dallas County, Tex., August 1, 1972; graduated from St. Paul's School, Concord, N.H., 1991; A.B., Harvard University, Cambridge, Mass., 1995; M.B.A., Harvard University, Cambridge, Mass., 2001; United States Marine Corps; real estate executive; member of the Texas state house of representatives, 2010-2014; member of the Texas state senate, 2015-2019; unsuccessful candidate for nomination to the One Hundred Tenth Congress in 2006; elected as a Republican to the One Hundred Sixteenth and to the succeeding Congress (January 3, 2019-present)."
C001108,James,Comer,1972-08-19,Republican,KY,"A Representative from Kentucky; born in Carthage, Smith County, Tenn., August 19, 1972; graduated from Monroe County High School, Tompkinsville, Ky., 1990; B.S., Western Kentucky University, Bowling Green, Ky., 1993; businessman; farmer; chairman, Monroe County, Ky., Republican party, 1993-1995; Delegate, Republican National Convention, 1996; member of the Kentucky state house of representatives, 2001-2012; Kentucky state commissioner of agriculture, 2012-2015; elected simultaneously as a Republican to the One Hundred Fourteenth and to the One Hundred Fifteenth Congresses, by special election, to fill the vacancy caused by the resignation of United States Representative Ed Whitfield, and reelected to the two succeeding Congresses (November 8, 2016-present)."
Y000033,Donald,Young,1933-06-09,Republican,AK,"A Representative from Alaska; born in Meridian, Sutter County, Calif., June 9, 1933; A.A., Yuba Junior College, Marysville, Calif., 1952; B.A., California State University, Chico, Calif., 1958; United States Army, 1955-1957; teacher; Mayor of Fort Yukon, Alaska, 1960-1968; riverboat captain, 1968-1972; member of the Fort Yukon, Alaska, city council, 1960-1968; member of the Alaska state house of representatives, 1966-1970; member of the Alaska state senate, 1970-1973; delegate, Alaska state Republican conventions, 1964, 1966, 1968, and 1972; elected as a Republican to the Ninety-third Congress, by special election, to fill the vacancy caused by the death of United States Representative Nick Begich, and reelected to the twenty-four succeeding Congresses, and served until his death (March 6, 1973-March 18, 2022); chair, Committee on Resources (One Hundred Fourth through One Hundred Sixth Congresses); chair, Committee on Transportation and Infrastructure (One Hundred Seventh through One Hundred Ninth Congresses); died on March 18, 2022, while en route to Alaska; lay in state in National Statuary Hall, March 29, 2022."
D000600,Mario,Diaz-Balart,1961-09-25,Republican,FL,"a Representative from Florida; born in Fort Lauderdale, Broward County, Fla., September 25, 1961; graduated from Miami Shores Preparatory High School, Miami Shores, Fla., 1979; attended the University of South Florida, Tampa, Fla.; marketing executive; member of the Florida state house of representatives, 1988-1992, 2000-2002; member of the Florida state senate, 1992-2000; elected as a Republican to the One Hundred Eighth and to the nine succeeding Congresses (January 3, 2003-present)."
K000368,Ann,Kirkpatrick,1950-03-24,Democrat,AZ,"a Representative from Arizona; born in McNary, Apache County, Ariz., March 24, 1950; graduated from Blue Ridge High School; B.A., University of Arizona, Tucson, Ariz., 1972; J.D., University of Arizona, Tucson, Ariz., 1979; lawyer, private practice; Coconino County, Ariz., deputy attorney, 1980; Sedona, Ariz., city attorney; member of the Arizona state house of representatives, 2005-2007; elected as a Democrat to the One Hundred Eleventh Congress (January 3, 2009-January 3, 2011); unsuccessful candidate for reelection to the One Hundred Twelfth Congress in 2010; elected as a Democrat to the One Hundred Thirteenth and to the succeeding Congress (January 3, 2013- January 3, 2017); was not a candidate for reelection to the One Hundred Fifteenth Congress in 2016, but was an unsuccessful candidate for election to the United States Senate; elected as a Democrat to the One Hundred Sixteenth and to the succeeding Congress (January 3, 2019-present)."
T000480,William,Timmons,1984-04-30,Republican,SC,"a Representative from South Carolina; born in Greenville, Greenville County, S.C., April 30, 1984; graduated from Christ Church Episcopal School, Greenville, S.C., 2002; B.A., The George Washington University, Washington, D.C., 2006; M.S., University of South Carolina, Columbia, S.C., 2009; J.D., University of South Carolina, Columbia, S.C., 2010; M.S., New York University, New York, N.Y., 2021; South Carolina Army National Guard, 2018-present; lawyer; businessman; staff, United States Senator William H. Frist of Tennessee, 2006-2007; member of South Carolina state senate, 2016-2019; elected as a Republican to the One Hundred Sixteenth and to the succeeding Congress (January 3, 2019-present)."
D000616,Scott,Desjarlais,1964-02-21,Republican,TN,"A Representative from Tennessee; born in Des Moines, Polk County, Iowa, February 21, 1964; graduated from Brown High School, Sturgis, S.Dak., 1982; B.S., University of South Dakota, Vermillion, S.Dak., 1987; M.D., University of South Dakota, Vermillion, S.Dak., 1991; physician; elected as a Republican to the One Hundred Twelfth and to the five succeeding Congresses (January 3, 2011-present)."
